-,一级,二级,三级,级内,简称,网址,描述title,https://www.google.com/s2/favicons?domain=,主要关键词,次要关键词,关键词,判断网址,判断图片,其他标签,图标大小,备案/未备案,经营性/非经营性
10001-200-300-900,10001,200,300,900,中国政府网,http://www.gov.cn/,中华人民共和国中央人民政府,http://www.gov.cn/govweb/xhtml/favicon.ico,政府,,,999,999,,16,,
10001-200-300-900,10001,200,300,900,国务院办公厅,,,,政府,国务院,,,,,,,
10001-201-301-901,10001,201,301,901,外交部,https://www.fmprc.gov.cn/web/, ,https://www.google.com/s2/favicons?domain=https://www.fmprc.gov.cn/web/,政府,国务院,组成部门,999,,,,,
10001-201-301-902,10001,201,301,902,国防部,http://www.mod.gov.cn/, ,http://www.mod.gov.cn/favicon.ico,政府,国务院,组成部门,999,,,256,,
10001-201-301-903,10001,201,301,903,国家发展和改革委员会,https://www.ndrc.gov.cn/, ,https://www.google.com/s2/favicons?domain=https://www.ndrc.gov.cn/,政府,国务院,组成部门,999,,,,,
10001-201-301-904,10001,201,301,904,教育部,http://www.moe.gov.cn/, ,http://www.moe.gov.cn/favorite.ico,政府,国务院,组成部门,999,,,16,,
10001-201-301-904,10001,201,301,904,(国家语言文字工作委员会),http://www.moe.gov.cn/jyb_sy/China_Language/, ,http://www.moe.gov.cn/favorite.ico,政府,国务院,组成部门,999,,,16,,
10001-201-301-905,10001,201,301,905,科学技术部,http://www.most.gov.cn/, ,http://www.most.gov.cn/favicon.ico,政府,国务院,组成部门,999,,,16,,
10001-201-301-906,10001,201,301,906,工业和信息化部,https://www.miit.gov.cn/, ,https://www.miit.gov.cn/favicon.ico,政府,国务院,组成部门,999,999,,32,,
10001-201-301-906,10001,201,301,906,(国家航天局),http://www.cnsa.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.cnsa.gov.cn/,政府,国务院,组成部门,999,,,,,
10001-201-301-906,10001,201,301,906,(国家原子能机构),http://www.caea.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.caea.gov.cn/,政府,国务院,组成部门,999,,,,,
10001-201-301-907,10001,201,301,907,国家民族事务委员会,http://www.neac.gov.cn/, ,http://www.neac.gov.cn/favicon.ico,政府,国务院,组成部门,999,999,,32,,
10001-201-301-908,10001,201,301,908,公安部,https://www.mps.gov.cn/, ,https://www.mps.gov.cn/favicon.ico,政府,国务院,组成部门,999,999,,16,,
10001-201-301-909,10001,201,301,909,国家安全部,, ,,政府,国务院,组成部门,,,,,,
10001-201-301-910,10001,201,301,910,民政部,http://www.mca.gov.cn/, ,http://www.mca.gov.cn/favicon.ico,政府,国务院,组成部门,999,,,16,,
10001-201-301-911,10001,201,301,911,司法部,http://www.moj.gov.cn/ , ,http://www.legaldaily.com.cn/tongyong/images/2019sfb/2019favicon.ico,政府,国务院,组成部门,999,,,16,,
10001-201-301-912,10001,201,301,912,财政部,http://www.mof.gov.cn/index.htm , ,http://www.mof.gov.cn/images/favicon.ico,政府,国务院,组成部门,999,,,16,,
10001-201-301-913,10001,201,301,913,人力资源和社会保障部,http://www.mohrss.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.mohrss.gov.cn/,政府,国务院,组成部门,999,,,,,
10001-201-301-914,10001,201,301,914,自然资源部,http://www.mnr.gov.cn/, ,,政府,国务院,组成部门,,,,,,
10001-201-301-915,10001,201,301,915,生态环境部,http://www.mee.gov.cn/, ,http://www.mee.gov.cn/favicon.ico,政府,国务院,组成部门,999,999,,16,,
10001-201-301-915,10001,201,301,915,(国家核安全局),http://nnsa.mee.gov.cn/, ,http://nnsa.mee.gov.cn/favicon.ico,政府,国务院,组成部门,999,999,,16,,
10001-201-301-916,10001,201,301,916,住房和城乡建设部,http://www.mohurd.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.mohurd.gov.cn/,政府,国务院,组成部门,999,,,,,
10001-201-301-917,10001,201,301,917,交通运输部,http://www.mot.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.mot.gov.cn/,政府,国务院,组成部门,999,,,,,
10001-201-301-918,10001,201,301,918,水利部,http://www.mwr.gov.cn/, ,http://www.mwr.gov.cn/favicon.ico,政府,国务院,组成部门,999,,,16,,
10001-201-301-919,10001,201,301,919,农业农村部,http://www.moa.gov.cn/, ,http://www.moa.gov.cn/favicon.ico,政府,国务院,组成部门,999,,,16,,
10001-201-301-920,10001,201,301,920,商务部,http://www.mofcom.gov.cn/, ,http://www.mofcom.gov.cn/assets/i/favicon_bak.png,政府,国务院,组成部门,999,,,32,,
10001-201-301-921,10001,201,301,921,文化和旅游部,https://www.mct.gov.cn/, ,https://www.mct.gov.cn/favicon.ico,政府,国务院,组成部门,999,999,,32,,
10001-201-301-922,10001,201,301,922,国家卫生健康委员会,http://www.nhc.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.nhc.gov.cn/,政府,国务院,组成部门,999,,,,,
10001-201-301-923,10001,201,301,923,退役军人事务部,https://www.mct.gov.cn/, ,http://www.mva.gov.cn/favicon.ico,政府,国务院,组成部门,999,,,16,,
10001-201-301-924,10001,201,301,924,应急管理部,http://www.mem.gov.cn/, ,http://www.mem.gov.cn/image/favicon.ico,政府,国务院,组成部门,999,999,,64,,
10001-201-301-925,10001,201,301,925,中国人民银行,http://www.pbc.gov.cn/, ,http://www.pbc.gov.cn/rmyh/uiFramework/commonResource/image/logo.ico,政府,国务院,组成部门,999,,,16,,
10001-201-301-926,10001,201,301,926,审计署,http://www.audit.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.audit.gov.cn/,政府,国务院,组成部门,999,,,,,
10001-201-302-901,10001,201,302,901,国有资产监督管理委员会,http://www.sasac.gov.cn/,国务院国有资产监督管理委员会,http://www.sasac.gov.cn/dbsource/11869722/11869731.jpg,政府,国务院,直属特设机构,999,,,30,,
