-,一级,二级,三级,级内,简称,网址,描述title,https://www.google.com/s2/favicons?domain=,主要关键词,次要关键词,关键词,判断网址,判断图片,其他标签,图标大小,个人/企业/公司,经营性/非经营性,营利性/非营利性,备案/未备案,服务器位置
10001-200-300-10000,10001,200,300,10000,中国政府网,http://www.gov.cn/, ,http://www.gov.cn/govweb/xhtml/favicon.ico,国务院,,,999,999,,16,,,,,
10001-201-300-10001,10001,201,300,10001,外交部,https://www.fmprc.gov.cn/web/, ,https://www.google.com/s2/favicons?domain=https://www.fmprc.gov.cn/web/,国务院,组成部门,,999,,,,,,,,
10001-201-300-10002,10001,201,300,10002,国防部,http://www.mod.gov.cn/, ,http://www.mod.gov.cn/favicon.ico,国务院,组成部门,,999,,,256,,,,,
10001-201-300-10003,10001,201,300,10003,国家发展和改革委员会,https://www.ndrc.gov.cn/, ,https://www.google.com/s2/favicons?domain=https://www.ndrc.gov.cn/,国务院,组成部门,,999,,,,,,,,
10001-201-300-10004,10001,201,300,10004,教育部,http://www.moe.gov.cn/, ,http://www.moe.gov.cn/favorite.ico,国务院,组成部门,,999,,,16,,,,,
10001-201-300-10004,10001,201,300,10004,（国家语言文字工作委员会）,http://www.moe.gov.cn/jyb_sy/China_Language/, ,http://www.moe.gov.cn/favorite.ico,国务院,组成部门,,999,,,16,,,,,
10001-201-300-10005,10001,201,300,10005,科学技术部,http://www.most.gov.cn/, ,http://www.most.gov.cn/favicon.ico,国务院,组成部门,,999,,,16,,,,,
10001-201-300-10006,10001,201,300,10006,工业和信息化部,https://www.miit.gov.cn/, ,https://www.miit.gov.cn/favicon.ico,国务院,组成部门,,999,999,,32,,,,,
10001-201-300-10006,10001,201,300,10006,（国家航天局）,http://www.cnsa.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.cnsa.gov.cn/,国务院,组成部门,,999,,,,,,,,
10001-201-300-10006,10001,201,300,10006,（国家原子能机构）,http://www.caea.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.caea.gov.cn/,国务院,组成部门,,999,,,,,,,,
10001-201-300-10007,10001,201,300,10007,国家民族事务委员会,http://www.neac.gov.cn/, ,http://www.neac.gov.cn/favicon.ico,国务院,组成部门,,999,999,,32,,,,,
10001-201-300-10008,10001,201,300,10008,公安部,https://www.mps.gov.cn/, ,https://www.mps.gov.cn/favicon.ico,国务院,组成部门,,999,999,,16,,,,,
