网址,<a></a>,第一关键词,https://www.google.com/s2/favicons?domain=,https://zhengxie.info/common/image/favicon/,排序—1,排序—2,国家,省份,城市
http://www.gov.cn/,中国政府网,国务院,http://www.gov.cn/govweb/xhtml/favicon.ico,16,1,1,,,
https://www.fmprc.gov.cn/web/,外交部,国务院,https://www.google.com/s2/favicons?domain=https://www.fmprc.gov.cn/web/,,1,101,,,
http://www.mofcom.gov.cn/,商务部,国务院,http://www.mofcom.gov.cn/assets/i/favicon_bak.png,32,1,102,,,
http://www.moj.gov.cn/ ,司法部,国务院,http://www.legaldaily.com.cn/tongyong/images/2019sfb/2019favicon.ico,16,1,103,,,
http://www.mof.gov.cn/index.htm ,财政部,国务院,http://www.mof.gov.cn/images/favicon.ico,16,1,104,,,
http://www.moe.gov.cn/,教育部,国务院,http://www.moe.gov.cn/favorite.ico,16,1,105,,,
https://www.mps.gov.cn/,公安部,国务院,https://www.mps.gov.cn/favicon.ico,16,1,105,,,
http://www.mca.gov.cn/,民政部,国务院,http://www.mca.gov.cn/favicon.ico,16,1,105,,,
http://www.mod.gov.cn/,国防部,国务院,http://www.mod.gov.cn/favicon.ico,256,1,105,,,
http://www.mot.gov.cn/,交通运输部,国务院,https://www.google.com/s2/favicons?domain=http://www.mot.gov.cn/,,1,105,,,
http://www.mee.gov.cn/,生态环境部,国务院,http://www.mee.gov.cn/favicon.ico,16,1,105,,,
http://www.mwr.gov.cn/,水利部,国务院,http://www.mwr.gov.cn/favicon.ico,16,1,105,,,
http://www.moa.gov.cn/,农业农村部,国务院,http://www.moa.gov.cn/favicon.ico,16,1,105,,,
https://www.mct.gov.cn/,文化和旅游部,国务院,https://www.mct.gov.cn/favicon.ico,32,1,105,,,
http://www.forestry.gov.cn/,国家林业和草原局,国务院,http://www.forestry.gov.cn/favicon.ico,53,1,999,,,
http://www.forestry.gov.cn/,国家公园管理局,国务院,http://www.forestry.gov.cn/favicon.ico,53,1,999,,,
https://www.nmpa.gov.cn/,国家药品监督管理局,国务院,https://www.nmpa.gov.cn/wbppimages/favicon.ico,16,1,,,,
http://www.moe.gov.cn/jyb_sy/China_Language/,国家语言文字工作委员会,国务院,http://www.moe.gov.cn/favorite.ico,16,1,,,,
http://www.pbc.gov.cn/,中国人民银行,国务院,http://www.pbc.gov.cn/rmyh/uiFramework/commonResource/image/logo.ico,16,1,,,,
http://www.caac.gov.cn/index.html,中国民用航空局,国务院,http://www.caac.gov.cn/images/favicon.png,197,1,,,,
https://www.cnipa.gov.cn/,国家知识产权局,国务院,https://www.cnipa.gov.cn/favicon.ico,128,1,,,,
https://www.miit.gov.cn/,工业和信息化部,国务院,https://www.miit.gov.cn/favicon.ico,32,1,,,,
http://www.neac.gov.cn/,国家民族事务委员会,国务院,http://www.neac.gov.cn/favicon.ico,32,1,,,,
http://www.most.gov.cn/,科学技术部,国务院,http://www.most.gov.cn/favicon.ico,16,1,,,,
http://www.nrta.gov.cn/,国家广播电视总局,国务院,http://www.nrta.gov.cn/favicon.ico,32,1,,,,
http://www.stats.gov.cn/,国家统计局,国务院,http://www.stats.gov.cn/favicon.ico,16,1,,,,
http://www.cidca.gov.cn/,国家国际发展合作署,国务院,http://www.cidca.gov.cn/favicon.ico,16,1,,,,
http://www.nhsa.gov.cn/,国家医疗保障局,国务院,http://www.nhsa.gov.cn/images/1/fp_pic_24.png,19,1,,,,
http://www.sasac.gov.cn/,国务院国有资产监督管理委员会,国务院,http://www.sasac.gov.cn/dbsource/11869722/11869731.jpg,30,1,,,,
https://www.ndrc.gov.cn/,国家发展和改革委员会,国务院,https://www.google.com/s2/favicons?domain=https://www.ndrc.gov.cn/,,1,,,,
http://www.mohrss.gov.cn/,人力资源和社会保障部,国务院,https://www.google.com/s2/favicons?domain=http://www.mohrss.gov.cn/,,1,,,,
http://www.mohurd.gov.cn/,住房和城乡建设部,国务院,https://www.google.com/s2/favicons?domain=http://www.mohurd.gov.cn/,,1,,,,
http://www.nhc.gov.cn/,国家卫生健康委员会,国务院,https://www.google.com/s2/favicons?domain=http://www.nhc.gov.cn/,,1,,,,
http://www.audit.gov.cn/,审计署,国务院,https://www.google.com/s2/favicons?domain=http://www.audit.gov.cn/,,1,,,,
http://www.cnsa.gov.cn/,国家航天局,国务院,https://www.google.com/s2/favicons?domain=http://www.cnsa.gov.cn/,,1,,,,
http://www.caea.gov.cn/,国家原子能机构,国务院,https://www.google.com/s2/favicons?domain=http://www.caea.gov.cn/,,1,,,,
http://www.customs.gov.cn/,海关总署,国务院,https://www.google.com/s2/favicons?domain=http://www.customs.gov.cn/,,1,,,,
http://www.chinatax.gov.cn/,国家税务总局,国务院,https://www.google.com/s2/favicons?domain=http://www.chinatax.gov.cn/,,1,,,,
http://www.sport.gov.cn/,国家体育总局,国务院,https://www.google.com/s2/favicons?domain=http://www.sport.gov.cn/,,1,,,,
http://www.counsellor.gov.cn/,国务院参事室,国务院,https://www.google.com/s2/favicons?domain=http://www.counsellor.gov.cn/,,1,,,,
http://www.ggj.gov.cn/,国家机关事务管理局,国务院,https://www.google.com/s2/favicons?domain=http://www.ggj.gov.cn/,,1,,,,
http://www.sara.gov.cn/gjzjswjhtml/index.html,国家宗教事务局,国务院,https://www.google.com/s2/favicons?domain=http://www.sara.gov.cn/gjzjswjhtml/index.html,,1,,,,
https://www.hmo.gov.cn/,国务院港澳事务办公室,国务院,https://www.google.com/s2/favicons?domain=https://www.hmo.gov.cn/,,1,,,,
http://www.gqb.gov.cn/,国务院侨务办公室,国务院,https://www.google.com/s2/favicons?domain=http://www.gqb.gov.cn/,,1,,,,
http://www.gwytb.gov.cn/,国务院台湾事务办公室,国务院,https://www.google.com/s2/favicons?domain=http://www.gwytb.gov.cn/,,1,,,,
http://203.192.6.89/xhs/,新华社,国务院,https://www.google.com/s2/favicons?domain=http://203.192.6.89/xhs/,,1,,,,
https://www.drc.gov.cn/default.aspx,国务院发展研究中心,国务院,https://www.google.com/s2/favicons?domain=https://www.drc.gov.cn/default.aspx,,1,,,,
http://www.csrc.gov.cn/pub/newsite/,中国证券监督管理委员会,国务院,https://www.google.com/s2/favicons?domain=http://www.csrc.gov.cn/pub/newsite/,,1,,,,
http://www.nea.gov.cn/,国家能源局,国务院,https://www.google.com/s2/favicons?domain=http://www.nea.gov.cn/,,1,,,,
http://www.sastind.gov.cn/,国家国防科技工业局,国务院,https://www.google.com/s2/favicons?domain=http://www.sastind.gov.cn/,,1,,,,
http://www.tobacco.gov.cn/gjyc/index.shtml,国家烟草专卖局,国务院,https://www.google.com/s2/favicons?domain=http://www.tobacco.gov.cn/gjyc/index.shtml,,1,,,,
http://www.nra.gov.cn/,国家铁路局,国务院,https://www.google.com/s2/favicons?domain=http://www.nra.gov.cn/,,1,,,,
http://www.spb.gov.cn/,国家邮政局,国务院,https://www.google.com/s2/favicons?domain=http://www.spb.gov.cn/,,1,,,,
http://www.ncha.gov.cn/,国家文物局,国务院,https://www.google.com/s2/favicons?domain=http://www.ncha.gov.cn/,,1,,,,
https://www.saac.gov.cn/,国家档案局,国务院,https://www.google.com/s2/favicons?domain=https://www.saac.gov.cn/,,1,,,,
http://www.gjbmj.gov.cn/,国家保密局,国务院,https://www.google.com/s2/favicons?domain=http://www.gjbmj.gov.cn/,,1,,,,
https://www.oscca.gov.cn/,国家密码管理局,国务院,https://www.google.com/s2/favicons?domain=https://www.oscca.gov.cn/,,1,,,,
https://www.mct.gov.cn/,退役军人事务部,国务院,http://www.mva.gov.cn/favicon.ico,16,1,,,,
http://www.mem.gov.cn/,应急管理部,国务院,http://www.mem.gov.cn/image/favicon.ico,64,1,,,,
