序号,1级,2级,3级,级内,简称,网址,描述title,图标地址,版层分类,首要关键词,次要关键词,重点关键词,判断网址,判断图片,其他标签,图标像素,备案/未备案,经营性/非经营性,反链接
10101-10-10-100,10101,10,10,100,斗鱼,https://www.douyu.com/, ,https://www.douyu.com/favicon.ico,在线音像,直播,,,可访,图标,,48,,,
10101-11-10-100,10101,11,10,100,CCTV央视频道,https://tv.cctv.com/live/, ,,在线音像,直播,电视,,可访,,,,,,
10101-11-10-101,10101,11,10,101,芒果tv湖南广电,http://live.mgtv.com/,,http://img.mgtv.com/imgotv-channel/6.1.8/pcweb-head/favicon.ico,在线音像,直播,电视,,可访,图标,,,,,
10101-13-10-100,10101,13,10,100,哔哩哔哩直播,https://live.bilibili.com/, ,https://www.bilibili.com/favicon.ico,在线音像,直播,综合,,可访,图标,,32,,,
10101-13-10-101,10101,13,10,101,六间房,https://www.6.cn/, ,https://vr0.xiu123.cn/imges/favicon.ico,在线音像,直播,综合,,可访,图标,,32,,,
10101-13-10-102,10101,13,10,102,YY直播,https://www.yy.com/, ,https://www.yy.com/favicon.ico,在线音像,直播,综合,,可访,图标,,16,,,
10101-13-10-103,10101,13,10,103,CC直播,https://cc.163.com/, ,https://cc.res.netease.com/act/webcc/favicon/favicon.ico,在线音像,直播,综合,,可访,图标,,16,,,
10101-13-10-104,10101,13,10,104,龙珠直播,http://longzhu.com/, ,,在线音像,直播,综合,,可访,,,,,,
10101-13-10-105,10101,13,10,105,火猫直播,http://www.huomao.com/, ,http://www.huomao.com/favicon.ico,在线音像,直播,综合,,可访,图标,,32,,,
10101-13-10-106,10101,13,10,106,NOW直播,https://now.qq.com/, ,https://now.qq.com/favicon.ico,在线音像,直播,综合,,可访,图标,,16,,,
10101-13-10-107,10101,13,10,107,战旗TV,https://www.zhanqi.tv/, ,,在线音像,直播,综合,,可访,,,,,,
10101-13-10-108,10101,13,10,108,虎牙直播,https://www.huya.com/, ,https://www.huya.com/favicon.ico,在线音像,直播,综合,,可访,图标,,32,,,
10101-13-10-109,10101,13,10,109,企鹅电竞,https://egame.qq.com/, ,https://egame.qq.com/favicon.ico,在线音像,直播,综合,,可访,,,,,,
10102-10-10-100,10102,10,10,100,芒果TV,https://www.mgtv.com/, ,https://www.mgtv.com/favicon.ico,在线音像,视频,,,可访,图标,,16,,,
10102-10-10-101,10102,10,10,101,优酷,https://www.youku.com/, ,https://img.alicdn.com/tfs/TB1WeJ9Xrj1gK0jSZFuXXcrHpXa-195-195.png,在线音像,视频,,,可访,图标,,195,,,
10102-10-10-102,10102,10,10,102,腾讯视频,https://v.qq.com/, ,https://v.qq.com/favicon.ico,在线音像,视频,,,可访,图标,,32,,,
10102-10-10-103,10102,10,10,103,iQIYI,https://www.iq.com/, ,https://www.iqiyipic.com/common/images/logo.ico,在线音像,视频,,,可访,图标,,256,,,
10102-10-10-104,10102,10,10,104,土豆,https://www.tudou.com/, ,https://img.alicdn.com/tfs/TB1Pd4JZ.z1gK0jSZLeXXb9kVXa-32-32.png,在线音像,视频,,,可访,图标,,32,,,
10102-10-10-105,10102,10,10,105,豆瓣电影,https://movie.douban.com/, ,https://img9.doubanio.com/favicon.ico,在线音像,视频,,,可访,图标,,32,,,
10102-10-10-106,10102,10,10,106,风行网,http://www.fun.tv/, ,,在线音像,视频,,,可访,,,,,,
10102-10-10-107,10102,10,10,107,360影视,http://www.360kan.com/, ,http://www.360kan.com/favicon.ico,在线音像,视频,,,可访,图标,,16,,,
10102-10-10-108,10102,10,10,108,AcFun,https://www.acfun.cn/, ,https://cdn.aixifan.com/ico/favicon.ico,在线音像,视频,,,可访,图标,,32,,,
10102-10-10-109,10102,10,10,109,咪咕视频,https://www.miguvideo.com/, ,https://www.miguvideo.com/favicon.ico,在线音像,视频,,,可访,图标,,48,,,
10102-10-10-110,10102,10,10,110,乐视视频,http://www.le.com/, ,http://www.le.com/favicon.ico,在线音像,视频,,,可访,图标,,32,,,
10102-10-10-111,10102,10,10,111,哔哩哔哩,https://www.bilibili.com/, ,https://www.bilibili.com/favicon.ico?v=1,在线音像,视频,,,可访,图标,,32,,,
10102-10-10-112,10102,10,10,112,百度视频,http://v.baidu.com/, ,,在线音像,视频,,,可访,,,,,,
10102-10-10-113,10102,10,10,113,搜狐视频,https://tv.sohu.com/, ,https://tv.sohu.com/favicon.ico,在线音像,视频,,,可访,图标,,32,,,
10102-10-10-114,10102,10,10,114,PPTV,https://www.pptv.com/, ,https://sr1.pplive.cn/mcms/nav/images/favicon.ico,在线音像,视频,,,可访,图标,,32,,,
10102-10-10-115,10102,10,10,115,搜狗视频,https://v.sogou.com/, ,https://dlweb.sogoucdn.com/translate/favicon.ico?v=20180424,在线音像,视频,,,可访,图标,,32,,,
10103-10-10-100,10103,10,10,100,抖音短视频,https://www.douyin.com/, ,https://www.douyin.com/,在线音像,短视频,,,可访,,,32,已备案,,
10108-10-10-100,10108,10,10,100,网易云音乐,https://music.163.com/, ,https://s1.music.126.net/style/favicon.ico?v20180823,在线音像,音乐,,,可访,图标,,32,,,
10108-10-10-101,10108,10,10,101,千千音乐,https://music.taihe.com/, ,https://music.taihe.com/favicon.ico,在线音像,音乐,,,可访,图标,,32,,,
10108-10-10-102,10108,10,10,102,QQ音乐,https://y.qq.com/, ,https://y.qq.com/favicon.ico,在线音像,音乐,,,可访,图标,,32,,,
10108-10-10-103,10108,10,10,103,音乐Tai,https://www.yinyuetai.com/,,https://www.yinyuetai.com/favicon.ico,在线音像,音乐,,,可访,图标,,16,,,
10201-10-10-100,10201,10,10,100,微博,https://weibo.com/, ,https://weibo.com/favicon.ico,虚拟社区,微博,,,可访,图标,,32,,,
10202-10-10-100,10202,10,10,100,抖音短视频,https://www.douyin.com/, ,https://www.douyin.com/,虚拟社区,短视频,,,可访,,,32,已备案,,
10204-10-10-100,10204,10,10,100,知乎,https://zhihu.com/, ,https://static.zhihu.com/heifetz/favicon.ico,虚拟社区,问答,,,可访,图标,,32,,,
10205-10-10-100,10205,10,10,100,果壳,https://www.guokr.com/,科技有意思 · 果壳走着瞧,https://www.guokr.com/favicon.ico,虚拟社区,兴趣,,,可访,图标,,32,,,
10205-10-10-101,10205,10,10,101,汽车之家,https://www.autohome.com.cn/,,https://www.autohome.com.cn/favicon.ico,虚拟社区,兴趣,,,可访,图标,,32,,,
10207-10-10-100,10207,10,10,100,豆瓣网,https://www.douban.com/, ,https://www.douban.com/favicon.ico,虚拟社区,爱好,,,可访,图标,,32,,,
10207-10-10-101,10207,10,10,101,虎扑,https://www.hupu.com/,,https://w1.hoopchina.com.cn/images/pc/old/favicon.ico,虚拟社区,爱好,,,可访,图标,,32,,,
10208-10-10-100,10208,10,10,100,简书,https://www.jianshu.com/, ,https://cdn2.jianshu.io/assets/favicons/favicon-e743bfb1821442341c3ab15bdbe804f7ad97676bd07a770ccc9483473aa76f06.ico,虚拟社区,写作,,,可访,,,32,,,
10209-10-10-100,10209,10,10,100,V2EX,https://www.v2ex.com/, ,https://www.v2ex.com/static/favicon.ico,虚拟社区,创意,,,可访,图标,,32,,,
10210-10-10-100,10210,10,10,100,CSDN,https://www.csdn.net/, ,https://g.csdnimg.cn/static/logo/favicon32.ico,虚拟社区,IT,,,可访,图标,,32,,,
10211-10-10-100,10211,10,10,100,,,,,虚拟社区,游戏,,,,,,,,,
10211-11-10-100,10211,11,10,100,3DMGame,https://www.3dmgame.com/,,https://www.3dmgame.com/favicon.ico,虚拟社区,游戏,单机游戏,,可访,图标,,16,,,
10211-12-10-100,10211,12,10,100,4399.com,http://www.4399.com/,4399小游戏,http://www.4399.com/favicon.ico,虚拟社区,游戏,小游戏,,可访,图标,,16,,,
10211-13-10-100,10211,13,10,100,游民星空,https://www.gamersky.com/,,https://www.gamersky.com/favicon.ico,虚拟社区,游戏,综合,,可访,图标,,,,,
10211-13-10-101,10211,13,10,101,17173.com,https://www.17173.com/,,https://ue.17173cdn.com/images/lib/v1/favicon-hd.ico,虚拟社区,游戏,综合,,可访,图标,,32,,,
10211-13-10-102,10211,13,10,102,TGbus,http://www.tgbus.com/,,http://www.tgbus.com/static/img/favicon.ico,虚拟社区,游戏,综合,,可访,图标,,64,,,
10211-13-10-103,10211,13,10,103,52PK,https://www.52pk.com/,,https://www.52pk.com/favicon.ico,虚拟社区,游戏,综合,,可访,图标,,16,,,
10211-13-10-104,10211,13,10,104,178.com,http://www.178.com/,,http://cimg.178.com/www/favicon.ico,虚拟社区,游戏,综合,,可访,图标,,64,,,
10211-13-10-105,10211,13,10,105,NGA玩家社区,https://nga.cn/,,https://bbs.nga.cn/favicon.ico,虚拟社区,游戏,综合,,可访,图标,,16,,,
10211-13-10-106,10211,13,10,106,游民星空,https://www.gamersky.com/,,https://www.gamersky.com/favicon.ico,虚拟社区,游戏,综合,,可访,图标,,16,,,
10301-10-10-100,10301,10,10,100,百度新闻,http://news.baidu.com/,,http://gss0.bdstatic.com/5foIcy0a2gI2n2jgoY3K/static/fisp_static/common/img/favicon.ico,资讯服务,热点要闻,,,可访,图标,,32,,,
10301-10-10-101,10301,10,10,101,腾讯新闻,https://news.qq.com/,,https://mat1.gtimg.com/www/icon/favicon2.ico,资讯服务,热点要闻,,,可访,图标,,32,,,
10302-10-10-100,10302,10,10,100,铁血网,http://www.tiexue.net/,,http://www.tiexue.net/favicon.ico,资讯服务,军事,,,可访,图标,,16,,,
